ABESID	IDP
ABES1FL90SAB7	https://idp.supagro.fr/idp 
ABESDIMH6P5PC	https://sts.windows.net/ea847b31-dc73-4e64-b8e9-54cb237688f3/
ABES9WQ7RQCLY	https://idp.normandie-univ.fr/idp/shibboleth
ABESG3O6DS1HT	https://shibboleth3.obspm.fr/idp/shibboleth
ABES5T23LJ3MZ	https://idp.oniris-nantes.fr/realms/master
ABES8NEC8RVG4	https://idp.u-paris2.fr/idp/shibboleth
ABESCEEK7GEWE	https://sts.windows.net/672488e0-d004-4859-a645-9ecd3e55bf74/
ABESHVRCPNCWX	https://idp.sciencespo-lyon.fr/idp/shibboleth
ABESG3HHKL5TZ	https://sts.windows.net/b78d03e6-f6a2-4cff-83be-847d1a6453f9/
ABES5MH8APKFB	https://auth.id.sorbonne-universite.fr/saml/metadata
ABES8CR6NNH89	https://idp.synchrotron-soleil.fr/idp/shibboleth
ABES9PEVI6OR6	https://idp.telecom-paristech.fr/idp/shibboleth
ABESGUE8Y1CXP	https://idpr4.imtbs-tsp.eu/idp/shibboleth
ABESDRVILFVR4	https://idp2.universcience.fr/idp/shibboleth
ABESCLM4SNLP4	https://idp.u-bordeaux-montaigne.fr/idp/shibboleth
ABES5O8GGB6G3	https://ucoshib.uco.fr/idp/shibboleth
ABESBHDDB7B8G	https://shibone.univ-catholille.fr/idp/shibboleth
ABES9SY5TX4CX	https://id.ucly.fr/idp/shibboleth
ABES3CO7TDE3H	urn:mace:cru.fr:federation:univ-lyon1.fr
ABESA1M1958SJ	https://idp.uca.fr/idp/shibboleth
ABESE2C5CI2KA	https://idp.univ-cotedazur.fr/idp/shibboleth
ABESBHH1IY5Y8	urn:mace:cru.fr:federation:univ-angers.fr
ABES70RCI79FA	https://idp.univ-artois.fr/idp/shibboleth
ABES4FL9A1DD4	https://idp.univ-avignon.fr/idp/shibboleth
ABESJ9X9BECVU	https://shibboleth.univ-evry.fr/idp/shibboleth
ABES8D0VN4V46	https://idp.univ-orleans.fr/idp/shibboleth
