id_abes	IDP
ABESGRJJ3UF2Z	https://auth.u-pec.fr/idp/shibboleth
ABES84V7YN5B7	https://upnidp2.parisnanterre.fr/idp/shibboleth
ABESGGGI5N4SG	https://idp.universite-paris-saclay.fr/idp
ABES9WYIJACD3	https://idp.univ-tlse3.fr/idp/shibboleth
ABESI635XG1P6	https://idp-v4.univ-montp3.fr/idp/shibboleth
ABES3LTYU4XL4	https://idp.uphf.fr/idp/shibboleth
ABESF4RBHW4SY	urn:mace:cru.fr:federation:uhb.fr
ABES3OF4BUB0Y	https://shibboleth.univ-savoie.fr/idp/shibboleth
ABESH0B2ZCGBD	https://idp.univ-paris13.fr/idp/shibboleth
ABES2IJ1Q7DNC	https://idp3.ut-capitole.fr/idp/shibboleth
ABESF3PEBJ3TL	https://ruhnu.univ-tlse2.fr/idp/shibboleth
ABESDE6W2DJ4L	https://papangue.vetagro-sup.fr/idp/shibboleth
ABESERG2YZBDK	
ABESKHZG6GGV3	
ABESISYIN39H4	
ABESGK19GYAX3	
ABES1BW1D18GT	
ABESION7ADI3B	
ABES9RBGYEB3Q	
ABES4TK3XEEVM	
ABESIBK75C99Y	https://ciboulette.abes.fr/idp/shibboleth
ABES7WJCBGA4A	https://idp.inha.fr/idp/shibboleth
ABESCVAGAJ4OT	https://idp2.amue.fr/idp/shibboleth
ABES1584HP4PA	https://idp.isara.fr/idp/shibboleth
ABESAEA7CGBDS	
ABES8PX4TJF7V	
ABESCX17XO6SJ	
ABESB52JAZ1Z2	
ABESCIB6Y64RF	
ABESHJTFXU4PT	
ABES1KW8NY88T	
ABES7WJ8VLC5O	
ABES6X7FNIAZE	https://idp.esc-pau.fr/idp/shibboleth
ABESHLYFIFHQ4	
ABES8Y6G8TF3V	https://idp.chu-rouen.fr/idp/
ABES6VS6XF800	
ABES7DDKIQF4P	
ABES9PQ2ZR7X2	
ABESHG57BL1UD	
ABES3LR5BZ2CR	
ABESJ6MCWU2LX	
ABESG6BJIB6HN	
ABESEVCADYFXX	
ABESAMYEZZIKG	
ABES4UR8YFCLC	
ABES1QQFTQFEE	
ABESFGL2GS9C1	
ABESHGSICS2IM	
ABESEM499M6TB	
ABES4KYHKP958	
ABES5XXBLN6KU	
ABES6RTUN1NE4	
ABES8628PLAIN	
ABES5YHHYF3LQ	
ABES5CX2KJCIF	
ABESG9OEPJEX6	
ABESHO7CTI4GP	
ABES5NQHAGB4M	
ABES4OCTYBID7	
ABES7XZ4KY7SH	
ABESI9GF09VS6	
ABES6LL2DU8FQ	
ABES7NM7XFHTT	
ABESDPCEM4HGA	
ABES5SYHNO3YL	
ABES2LY3NK8WQ	
ABES9PV2H5CDF	
ABESCNK3LMCZ6	
ABESFB57KIKA2	
ABESIACACK5KB	
ABES5XRD15OL4	
ABES7TWEMKACC	
ABES5CCCWP3XN	
ABESCDG2SNDQO	
ABES6PO6ZPEBY	
ABES3WY91P2YB	
ABES3HK7YK97Y	https://idp.paris-valdeseine.archi.fr/idp/shibboleth
ABES3CC1VO3LL	https://shibb01.ensait.fr/idp/shibboleth
ABES5RHG349IR	https://ucopia.ensea.fr/sp
ABES3TC2IX2IW	https://shibboleth.ensicaen.fr/idp/shibboleth
ABES81VKFE2DI	urn:mace:cru.fr:federation:univ-paris1.fr
ABES8TN9PBDY5	https://idp2.enssib.fr/idp/shibboleth
ABES7PZIBKCOX	https://shibbov3.ephe.fr/idp/shibboleth
ABESDRH2Y12TU	
ABES4U62VTHAM	https://shibboleth.univ-paris-est.fr/idp/shibboleth
ABESJ2U2HV7CV	
ABES4TC2C64CJ	
ABES8NEC8RVG4	https://idp.u-paris2.fr/idp/shibboleth
ABES709KHX61G	https://idp.esme.fr/idp/shibboleth
ABESD7F2LS2HW	
ABES94X5OS525	https://sts.windows.net/0c9c1a95-0cea-4037-8239-79fddf109c3d/
ABES8XRI3652D	
ABES6233LU6TQ	https://sts.windows.net/e615888c-2985-4a3a-826a-7bb1842fa50e/
ABES1QM2KBCI9	https://idpv3.ehess.fr/idp/shibboleth
ABESCRC1V095S	https://idp.psl.eu/idp/saml2/metadata
ABES2Q3B9GCBG	https://idp.beauxartsnantes.fr/idp/shibboleth
ABES4UMCSBAF4	https://login.essec.fr/idp/shibboleth
ABESIRH3ZY4SJ	
ABESB5691C1HK	
ABESFJU6NY3KI	
ABESJHNEDJ4SN	
ABES8JO3XMDFH	https://refid-auth.campus-condorcet.fr/saml/metadata/idp
ABESF3W7K58XF	https://idp3.marnelavallee.archi.fr/idp/shibboleth
